词语,频率
九次,1
方才,1
大于,1
每发,1
大约,1
消耗,1
得慢,1
费力气,1
而仅会,1
总以,1
比例,1
生活,1
一辈子,1
反比,1
情况,1
对照,1
人一念,1
必须,1
三个,1
一半,1
从来,1
思想家,1
说话,1
跟着,1
例子,1
赵元任,1
口诀,1
九九八十一,1
不了,1
说不定,1
七七四十,1
证明,1
一点,1
国内外,1
许多,1
证实,1
至于,1
是否,1
证据,1
古希腊,1
希腊,1
自古,1
发明,1
拼音字母,1
进步,1
倒退,1
为了,1
筛选,1
区分,1
结合,1
等于,1
好几倍,1
事实上,1
否则,1
栽体,1
耳朵,1
四种,1
突飞猛进,1
造成,1
论坛,1
英国,1
趋于,1
保守,1
元朝,1
失掉,1
入声,1
衰弱,1
正巧,1
开始,1
尼安德,1
特人,1
人种,1
之所以,1
必定,1
战胜,1
关键,1
解决,1
面临,1
名称,1
专利发明,1
数百万,1
中有,1
推导,1
联想,1
成份,1
后缀,1
复合词,1
基本,1
一百万个,1
四千个,1
不够,1
关系,1
联合体,1
而已,1
羊肉,1
牛肉,1
猪油,1
羊油,1
牛油,1
放在,1
一起,1
其中,1
毫无,1
关联,1
构成,1
英语词汇,1
主体,1
几百万,1
根本原因,1
改成,1
连在一起,1
分体,1
无需,1
次数,1
设想,1
屠夫,1
每天,1
词上,1
千次,1
两千次,1
何乐不为,1
遇到,1
驴肉,1
用来,1
记不住,1
功能,1
非常,1
有用,1
大大,1
不仅如此,1
头脑,1
位置,1
整理,1
清清楚楚,1
达尔文主义,1
诞生,1
建立,1
基础,1
之上,1
印象,1
脑子,1
平面,1
立体,1
太多同,1
分类,1
并且,1
给出,1
然后,1
组成,1
清晰,1
大大的,1
每类,1
一百种,1
种名,1
二百个,1
逐渐,1
恶化,1
仿照,1
改造,1
改革,1
最先,1
德国,1
莱布尼兹,1
体会,1
亚里士,1
多得,1
以来,1
梦寐以求,1
组义,1
特性,1
性能,1
定义,1
今天,1
废除,1
关于,1
记住,1
通常,1
三到,1
四千,1
本人,1
全部,1
拥有,1
百万,1
熟练程度,1
后人,1
根本无法,1
达到,1
高等教育,1
机构,1
请教,1
含糊不清,1
别的,1
无法,1
避免,1
文章,1
语言学家,1
五到,1
二十五万,1
差距,1
很大,1
衡量,1
推崇,1
躲过,1
观点,1
中文,1
看得出来,1
民族,1
鼓舞,1
努力,1
恢复,1
早就,1
领先,1
太爱,1
钻牛角尖,1
外国人,1
一套,1
拼命,1
换换,1
口味,1
记起,1
几年,1
指手划脚,1
掣肘,1
拖腿,1
一份,1
报告,1
例举,1
大量,1
用以,1
通过,1
核实验,1
相同,1
盗窃,1
技术,1
这次,1
李文何,1
各发,1
一封,1
电子,1
信件,1
彻底,1
调查,1
此事,1
调查小组,1
好好,1
研究,1
上面,1
差异,1
相差无几,1
后面,1
附上,1
计算,1
接到,1
不少,1
回信,1
真实,1
地址,1
继续,1
明白,1
哪个,1
本身,1
变相,1
贬低,1
愿意,1
道理,1
非常明显,1
下去,1
牵扯,1
诸多,1
一块,1
伤疤,1
一直,1
降低,1
人民币,1
汇率,1
态度,1
礼貌,1
这套,1
一旦,1
理性,1
非常容易,1
上来,1
换句话说,1
狭窄,1
长远,1
利益,1
这话,1
工科,1
工程,1
有点,1
把握,1
碰到,1
经济,1
没底,1
类似,1
改头换面,1
设计,1
远远,1
常人,1
弥补,1
缺陷,1
当时,1
派生,1
以及,1
再也,1
发言,1
运动,1
争求,1
可想而知,1
推行,1
推向,1
深渊,1
摧毁,1
拯救,1
重新,1
选择,1
一门,1
带有,1
没学过,1
只好,1
唱歌,1
跟随,1
变化,1
八种,1
作用,1
差不多,1
上述,1
影响,1
团结,1
国力,1
越来越少,1
借口,1
威胁,1
